id,post_text
11,"السلام علیکم!
امید کرتا ہوں کہ آپ سب خیریت سے ہوں گے۔
آج میں اپنی زندگی کی ایک بہت بڑی مشکل آپ سب کے ساتھ شیئر کرنا چاہتا ہوں۔ پورن اور ماسٹربیشن نے میری زندگی کو بری طرح متاثر کیا ہے۔ پچھلے دس سالوں سے میں اس عادت کے چنگل میں پھنسا ہوا ہوں۔ بے شمار بار اسے چھوڑنے کی کوشش کی، لیکن ہر بار ناکام ہو گیا۔
اگر کوئی مجھ سے پوچھے کہ انٹرنیٹ کی ایسی کون سی چیز ہے جسے میں ہمیشہ کے لیے ختم کرنا چاہوں گا، تو اللہ گواہ ہے کہ میرا جواب پورن ہوگا۔ اس نے مجھے ذہنی، جسمانی اور سماجی طور پر بہت نقصان پہنچایا ہے۔ میری زندگی تو اس کی وجہ سے متاثر ہوئی ہی ہے، لیکن میری دعا ہے کہ آنے والی نسلیں اس تباہی سے محفوظ رہیں۔
میری عمر اس وقت 24 سال ہے، اور خاندانی و معاشی حالات کی وجہ سے میری شادی کم از کم اگلے 3 سال تک ممکن نظر نہیں آتی۔ یہی بات میرے لیے مزید پریشانی کا باعث بنتی ہے، کیونکہ میں اس عادت سے نجات حاصل کرنا چاہتا ہوں لیکن خود کو بار بار اسی جگہ کھڑا پاتا ہوں۔
میں آپ سب سے دل سے گزارش کرتا ہوں کہ اس عادت سے دور رہیں۔ اللہ کی قسم، یہ انسان کو آہستہ آہستہ تباہ کر دیتی ہے۔ اس نے مجھے لوگوں سے کاٹ کر رکھ دیا ہے۔ میرا دل کہیں آنے جانے کو نہیں کرتا، زیادہ تر وقت گھر کی چار دیواری میں گزرتا ہے، اور تنہائی میری زندگی کا حصہ بن چکی ہے۔
میں اپنے تمام دوستوں اور بھائیوں سے درخواست کرتا ہوں کہ اگر کسی نے اس عادت سے نجات حاصل کی ہے یا کوئی مؤثر طریقہ جانتا ہے تو براہِ کرم میری رہنمائی کریں۔ خاص طور پر ایسے لوگ جن کی شادی ابھی ممکن نہیں، وہ اپنا تجربہ ضرور شیئر کریں کہ انہوں نے خود کو کیسے سنبھالا اور اس عادت سے کیسے نجات حاصل کی۔
اللہ آپ سب کو اپنی حفظ و امان میں رکھے۔ آمین۔ See less"
12,"Nofap Challenge & Medical Help 
نو فیپ میں چیلنج کے بعد سب سے جو بڑا مرحلہ جس میں انسان مکمل ریکور ہوجاتا ہے وہ تب ہوتا ہے جب چیلنجر 6 سے 9 مہینے کے بعد میڈیکل ہیلپ لیتا ہے۔۔۔۔
لیکن کیا سب کو میڈیکل ہیلپ کی ضرورت پڑتی ہے..؟
نہیں زیادہ تر نوجوان جنکی عمر 25 برس سے کم ہے انکو ضرورت نہیں پڑتی میڈیکل ہیلپ کی جسمانی طور پر ریکوری کے لئے، پر بہت سے لوگ اس ایڈکشن میں پھنسنے کے باعث شدید ذہنی ڈس آرڈرز کا شکار ہوتے ہیں جس میں، انزائٹی اور ڈپریشن سرِ فہرست ہیں ان کو ضرور لینی چاہیے ہیلپ۔۔۔
اب وہ لوگ جنکی شادی قریب ہوتی ہے عمر چاہے جو 
بھی ہو انکو چاہیے کے وہ ایک دفعہ اپنا
 Semon analysis & Serum testosterone 
کا ٹیسٹ کروا کر دیکھ لیں اور جو مسائل ہوں انکو حل کرلیا جاۓ
چاہے ذہنی مسائل ہوں جسمانی یا جنسی
میڈیکل ہیلپ لینا بہت کارآمد ثابت ہوتی ہے، خاص طور پر تب جب آپ کچھ سالوں سے چیلنج کر رہے ہوں اور کامیاب نا ہو رہے ہوں (اور جلد شادی کا بھی کوئی پلان نہ ہو) تو سکائٹرسٹ سے مدد طلب کرنی چاہیے،  وہ ایسی میڈیسن لکھتے ہیں کے وقتی طور پر جسنی خواہش کم ہوجاتی ہے اور چیلنج کرنا آسان ہو جاتا ہے 
نوٹ: آپکے کوئی مزید سوالات ہوں تو پوچھ سکتے ہیں 
دعاگو 
محمد عرفان See less"
13,"Assalam o alaikum, meine taqreeban 5 6 saal se HP kar raha hun, per mein hamesha control mn hota tha, kabhi kabhar mein 90 din challenge bhi poora kiya tha, aur 21 21 din bhi karta tha, per ab meri shadi hai kujh mahino mn, mein chahta hun ke ab se HP karon hi na aur abhi physical strength bhi barhao, mein taqreeban 5 saalon se hostel mn reh raha hun parhai ki wajah se ab job ki wajah se, toh mein kaise apne aap ko imrove karon, kindly guide karein
Mere abhi weight bhi 82KG hai, woh bhi kam kar raha hun gym karke.
Assalam o alaikum, meine taqreeban 5 6 saal se HP kar raha hun, per mein hamesha control mn hota tha, kabhi kabhar mein 90 din challenge bhi poora kiya tha, aur 21 21 din bhi karta tha, per ab meri shadi hai kujh mahino mn, mein chahta hun ke ab se HP karon hi na aur abhi physical strength bhi barhao, mein taqreeban 5 saalon se hostel mn reh raha hun parhai ki wajah se ab job ki wajah se, toh mein kaise apne aap ko imrove karon, kindly guide karein. See less"
14,Mare challenge 20din ki hogaye ab masla ye hey ki 5dafa ihtelam hogaya hey aaf hazrat rahnamaye ki ji ye
15,اسلام علیکم بائ میرا مسلہ یے ہے کہ میں  جب پیشاپ کرتا ہو تو پیشاپ کے باد منی بی خود نکلتی ہے بہت پریشان ہو کیا  وجہ ہو  سکتی ہے چیلینج کو 30 دن ہو گیۓ ہے پہلی بار 30 دن مکمل.  کی یے ہے??
16,آج میرے چیلنج کو 15 دن ہو گئے ہیں جسم میں درد اور بے چینی سے لگی ہوئی ہے کچھ بھی اچھا نہیں لگ رہا سب بھائی دعا کرو کہ آگے سب بہتر ہی ہو
17,"Asslam o alaikum mai bht zeada pareshan hu muje 10 saal sa zeyada hochuka musht zani krta hu or manay bht bar koshish ki roknay ki khud ko lekin nae rok pata 
 mai akaila hu maa bap ka eslea maa bap b burhay hen na pehly onhon na kabi daikha na ab daikhty na koe rokny wala mojy....mery lea boht preshaani banti jaari hey please meri madad krein"
18,مشت زنی کی وجہ سے میرے گال بہت زیادہ پچک گئے ہیں کبھی کبھار درد بھی ہوتا ہے لوگ دیکھ کر کہتے ہیں کہ بوڑھے ہو گئے ہو تمہاری منہ کو کیا ہو گیا ہے تمام بھائی گائیڈ کریں تھوڑا ایڈمن پلیز اپروو کریں پوسٹ
19,"میں فیصلہ کرنے میں بہت لاپرواہ ہوں ۔یہاں تک کہ پانی سر پر سے گزر جاتا ہے ۔
غیر ضروری اشیاء بھی بہت خریدتا ہوں حالانکہ میں کفایت شعار ہوں۔
بیکری آئٹمز نا چاہتے ہوئے کھاتا ہوں ۔
کوئی حل/رہنمائی فرمائیں ۔
بہت پریشان ہوں اس بارے ۔"
20,"main daily kasam kahta Hun Quran ki rozy manta Hun k mushtzani nhi kro ga pher ho jti hn bht preshn Hun Allah ka bhi guhny gar Hun 
 mujhy koi in kasmo our rozo ka azala bta do Jo Allah ok mj ko maff krdy,"
21,"اسلام علیکم ورحمتہ اللہ وبرکاتہ تمام ممبران سے گزارش ہے گروپ میں صرف نوفیپ چلینج کے متعلق پوسٹ کریں سوال کریں 
علاج معالجے کیلئے سوشل میڈیا کے بجائے اپنے قریبی اور مستند ڈاکٹر سے رجوع کریں 
گروپ میں گالم گلوج ہنسی مذاق سے گریز کریں چیلنج کے متلعق ایک دوسرے کی صحیح رہنمائی اور حوصلہ افزائی کریں جہاں کوئی ان باکس بلانے والا حکیم یا ڈاکٹر دیکھائیں دیں تو فوراً گروپ ایڈمن کو اگاہ کریں اپکی پرائیویسی بلا معاوضہ حدمت کرنا ہمارے فرائض میں اولین فرض ہے شکریہ @everyone See less"
22,MERE CHALLENGE KO 13 WA DIN HA ME JAB BHATROM JATA HON TO BHUT ZIYDA MIQDAR ME MANI KE TRAHA KHUCH GHARHA MERE NAFS SY NIKALTA  KOI MASLA TO NHE HA PLEASE RHENMAI KARY
23,"*""تمہارا رزق تم تک پہنچ کر رہے گا... خواہ تمہیں رسیوں سے ہی کیوں نہ باندھ دیا جائے.""*"
24,"اسلام علیکم
میرا چیلنج تقریباً 124 دن کا تھا
آج شہوت کے غلبہ کہ وجہ سے میں نے کچھ غلط مواد دیکھ لیا اس دوران میں اپنے بستر پر الٹا لیٹا ہوا تھا مجھے محسوس ہوا اور اچانک مجھے لگا کہ میری منی نکل گئی اسی لیے میں نے اپنے نفس کو زور سے پکڑ لیا اور میں فوراً واش روم میں گیا اور جیسے ہی میں نے واش روم میں جا کر اپنے نفس کو چھوڑا تو اس میں سے سفید رنگ کا پانی نکلا اس پانی کی مقدار عام منی نکلنے کی مقدار سے تھوڑی کم تھی مگر مذی سے زیادہ تھی 
اور وہ پانی صرف ایک سفید پانی تھا وہ گاڑھا تھا مگر منی جتنا
گاڑھا نہیں تھا اور پانی میں منی جیسے داگھا نما کوئی جیز نہیں تھی جیسے منی میں ہوتی ہے 
پھر میں نے احتیاطاً غسل کر لیا 
تو کیا اب میرا چیلنج ٹوٹ گیا See less"
25,بھائی مادہ بہت پتلا ہے گاڑہ کرنے کے لیے کوئی مشورہ دیں اور جراثیم بھی طاقتور کرنے کے لیے بھی کوئی مشورہ دیں شکریہ plz adem apro my post
26,"نوفیپ چیلنج کرنے والے بہت سے نوجوان ارجز یعنی شہوت کی وجہ سے پریشان ہوتے ہیں۔ شہوت آنا ، ایک نارمل اور صحت مند جسم کی علامت ہے۔ آپ ایک انسان ہیں ، کوئی روبوٹ نہیں کہ چیلنج شروع کرتے ہی کوئی بٹن دبایا اور شہوت غائب ہوگئی۔ انسان کے جذبات کو کسی مشینی طریقے سے کنٹرول نہیں کیا جاسکتا۔ اس کے لیے واحد حل ہمارے دماغ کی ٹریننگ ہے جو نوفیپ گروپ میں کروائی جاتی ہے۔ 
ایک اہم بات ذہن نشین کرلیجیے۔ نوفیپ چیلنج شہوت کو ختم نہیں کرتا بلکہ شہوت سے نمٹنا سکھاتا ہے۔ شہوت کو manage کرنا سکھاتا ہے۔ شہوت کو ختم کرنا  ، ہمارا مقصد ہی نہیں۔ اگر شہوت ہی ختم ہوجائے تو مرد نا تو بیوی کا حق ادا کرپائے گا اور نا ہی باپ بن سکے گا۔
اس لیے اگر آپ نے چیلنج شروع کیا ہے اور شہوت بہت تنگ کررہی ہے تو پریشان نا ہوں۔  یہ سیکھیں کہ شہوت کو کنٹرول میں کیسے رکھنا ہے۔ ان چیزوں اور کاموں سے بچنا ہے جو شہوت کو بھڑکا کر بے لگام کردیتے ہیں۔ نظر کی حفاظت کرنی ہے۔ڈوپامین سے چھیڑ چھاڑ کرنے والی سرگرمیوں (خصوصاً سوشل میڈیا) سے کچھ وقت کے لیے  پرہیز کرنا ہے جسے ڈوپامین ڈیٹاکس کہا جاتا ہے۔ آہستہ آہستہ آپ کا جسم اور دماغ ڈسپلن سیکھ جائیں گے اور پھر آپ کسی پرانی سے پرانی عادت کو بھی بدل سکتے ہیں۔ 
اللہ رب العزت ہم سب کو توبۃ النصوح نصیب فرمائے۔ آمین See less"
27,"سورۃ الاعراف - آیت 200*
*عربی:*  
وَإِمَّا يَنزَغَنَّكَ مِنَ الشَّيْطَانِ نَزْغٌ فَاسْتَعِذْ بِاللَّهِ ۚ إِنَّهُ سَمِيعٌ عَلِيمٌ
*ترجمہ:*  
اور اگر شیطان کی طرف سے تمہیں کوئی وسوسہ آئے تو اللہ کی پناہ مانگ لو۔ بے شک وہ سننے والا، جاننے والا ہے۔ See less"
28,"بھائیو نوفیپ کا راستہ ہدایت کا راستہ ہے۔ آپ سیدھے راستے پہ ہیں کیونکہ آپ اپنے نفس سے لڑ رہے ہیں۔ آپ کو چیلنج کے شروع میں کئ ایسی منفی چیزیں دیکھنی پڑسکتی ہیں کہ جس سے آپ سوچیں گے کہ میں تو اور زیادہ کمزور ہوگیا یا مجھے تو اس چیلنج نے الٹا خراب کردیا جبکہ ایسی بات ہوتی نہیں ہے۔ کوئ بھی عادت کوئ بھی نشہ جب آپ یکدم چھوڑتے ہیں تو نیگیٹو ری ایکشن دیتا ہے جیسے سگریٹ کے عادی لوگ سگریٹ چھوڑنے پر چڑچڑاپن، غصہ، سردرد محسوس کرتے ہیں اسی طرح جب م زنی کا عادی انسان یہ چھوڑتا ہے تو اسے بھی موڈ سوئنگز، نفس کمزور دکھائ دینا، تناؤ میں کمی، خصیوں میں درد وغیرہ دیکھنا پڑجاتا ہے مگر یہ سب علامت کمزور ہونے کی نہیں بلکہ ٹھیک ہونے کی علامات ہیں۔
پیارے بھائیو لذت تو چند منٹ کی ہوتی ہے مگر اس کا گناہ لکھا رہ جاتا ہے اور ہم چاہے کتنے بھی گناہ کرلیں مگر اس قابل بھی نہیں ہیں کہ اپنے کیئے گئے اک گناہ کی سزا روز حشر سہہ سکیں۔ سب سے چھوٹی سزا جو گناہگار کو ملےگی وہ آگ کے جوتے پہننے کی ہے اور ہم بہت کمزور ہیں کہ ان سزاؤں کو برداشت کرسکیں۔ اللہ سے توبہ کیجیئے اور اس کی حمد و ثناء میں لگے رہیئے۔ جس نے اپنے نبی آدم علیہ السلام اور یونس علیہ السلام کو معاف کیا وہ ہمیں بھی معاف کردےگا
اللہ تعالی ہم سب کا حامی و ناصر ہو See less"
29,"السلام الیکم بهاٸی جان۔۔
بهاٸی میرے ساتھ ایک پرابلم هے۔میں نوفیپ چیلنج پر هوں اور جب تهوڑے بهی غلط خیالات آجائیں تو مزی نکلنے لگتی هے۔اس کا کیا حل هے؟۔کیا یے گرماش کے لیے هے یا کوٸی اور پرابلم هے؟۔اس کا کوٸی اعلاج یا دواٸی هو تو پلیز بتا دینا۔۔۔شکریا"
30,aoa mujy qabz ka masla reh chuka ha ab 2 3 mahiny ho gye pait boht nikalny lg gya ha or washroom kr k b aisa lgta jesy pait pora saf ni hua or zor lgta ha or pait boht phol gya ha jaha 2 roti khata tha 1 krdi ha or fast food b chor diya ha kya green tea peny sa pait wapis km ho jay ga plzz help
31,اسلام علیکم سب بھائی کیسے ہو اللہ پاک کے کرم سے میری شادی ہو گئی ہے آج 3 دن ہو گئے اور الحمدللہ سب کچھ ٹھیک ہے کوئی مسلہ نہیں مجھ میں میں بہت ڈر رہا تھا شادی سے کیوں کہ میں 12 سال اس گندی بیماری میں مبتلا رہا پھر میں نے نو فیپ سٹارٹ کیا اور پیلا چیلنج 57 دن تک گیا پھر 2 ہفتے کبھی 1 ہفتہ کبھی 3 ہفتے چلتے رہے اور شادی سے پہلے میرا چیلنچ 35 دن کا تھا لیکن میں نے کچھ استعمال نہیں کیا نا کوئی میڈسن نہ کچھ اور اللہ پاک کا شکر ہے کہ کوئی پروبلم نہیں آئی جیسے لوگ پہلے ڈراتے تھے ہی ہو جائے گا یہ وہ ہو جائے گا تو میں آپ سب کو یہ بتانا چاہتا ہوں جن بھائیوں کی شادی نہیں ہوئی اور اس گندی بیماری میں مبتلا ہیں تو وہ چیلنج سٹارٹ کریں پیچھے بھول جائیں کیا ہوا تھا یا نہیں انشاء اللہ سب تھیک ہو جائے گا See less
32,20 din baad chinlge toot gaya 20 dino main depression sy nikl chuka thaa likn raat chinlge toot gaya...
33,السلام علیکم ورحمۃ اللہ وبرکاتہ میں انیزائٹ اور ڈپریشن کی وجہ سے مجھے بہت سے موت کے بارے میں اور خیالات اتے ہیں تو میں نے ایک انسٹاگرام پہ دیکھا تھا نا کہ اے مطلب جب بھی انسان صبح سو کے اٹھے اور اسے تھکاوٹ ہو تھکا ہوا ہو اچھی نیند پوری کرنے کے بعد میں تو میں چیلنج پہ ہوں پہلے پہلے معتزنی کرتا تھا تو اس وجہ سے کمزوری ہے تو ریکوری ہونے میں ٹائم تو لگتے ہیں تو مجھے صبح اٹھنے میں سستی تو ہوتی ہے تو وہ ایک بندہ کہہ رہا تھا کہ اگر کسی کو صبح اٹھتے ہی مطلب تھکاوٹ ہو نیند پوری کرنے کے بعد تو کیا یہ ہارٹ اٹیک انے کی علامات ہیں یا مطلب کہ صرف صرف ہاتھ کے حالات استعمال کی وجہ سے اس طرح ہے کیونکہ ریکوری ہونے میں ٹائم تو لگتا ہے اور اگر بندہ چیلنج پورا کرتا ہے تو میں نے سنا تھا یہ کمزوری اور یہ تھکاوٹیں اور یہ ساری چیزیں اتی ہیں See less
34,"السلام علیکم و رحمت اللہ و برکاتہ 
میں کل یعنی یکم محرم الحرام قمری سال کے پہلے دن سے اپنا چیلنج شروع کیا ہے وعدہ کرتا ہوں ان شاءاللہ کہ اب شادی تک کوئی مشت زنی نہیں کرونگا۔ شادی کے بعد وہی فطری طریقہ اپناؤنگا جو اللہ تعالی نے طبیعت میں رکھی ہے آپ سب سے دعاؤں کی درخواست ہے اور جو میرے ساتھ شروع کرنا چاہتا ہے وہ بھی اس نئی سال کہ برکت سے نئی سوچ اور مقصد لیکر شروع کریں کہ اس سال میرا یہ یہ ٹارگٹ ہے اللہ ہم سب کا حامی و ناصر ہو.
 #nofep_challenge 
#nomansaeed"
35,آج مجھے رات احتلام ہونے والا تھا کہ میری آنکھ کھل گئی اور میں نے روک لیا۔ ایک یا دو قطرے خارج ہوئے۔ کیا ایسا کرنے سے کوئی نقصان تونہیں۔
36,Salam numan bhai 4 Dino se katry aa rahy hy
37,السلام علیکم سر، میرا سوال یہ ہے کہ مجھے کبھی کبھی بے حد شہوت کا غلبہ ہوتا ہے مگر میں جب بھی اپنی بیوی کے پاس جاتا ہوں تو خود بخود شہوت کا غلبہ چلا جاتا ہے۔ اور جب میں اکیلے سوتا ہوں تو میرا نفس بالکل موج میں ہوتا ہے مگر جب اپنی بیوی کے پاس جاتا ہوں تو ڈھیلا ہو جاتا ہے۔ کوئی رہنمائی کریں بڑی مہربانی۔
38,"17-06-2026 بوقتam  12:55 
نو فیپ
چیلنج کے ٹوٹنے کی سب سے بڑی وجہ
Deprivation Effect 
اسکی مثال آپ سمجھیں ایک chain smoker کی لیں
ایک بندہ ہے جو سیگریٹ پیتا ہے دن میں 6 روازنہ 
ہوا کیا کے اس نے سوچا کے مجھے یہ عادت ختم کرنی چاہیے اور اس نے یہ تہیہ کرلیا کے میں آج سے سیگریٹ نوشی نہیں کیا کروں گا ، شروع کے چند گھنٹے اور دن وہ نارمل گزار لیتا ہے پر کچھ دنوں میں اس کو ڈوپامین اور نیکوٹین کی کمی محسوس ہوتی ہے اور سیگریٹ کی پینے کی خواہش بڑھنے لگتی ہے ، وہ resist کرتا ہے اور کچھ دن نہیں پیتا بلآخر یہ ہوتا ہے کے وہ ایک دن پی لیتا ہے اور معمول سے زیادہ پیتا ہے،
اور پھر وہ پیتا چلا جاتا ہے 
۔
یہی کچھ ہوتا ہے Nofap Rebooter کے ساتھ کچھ دن نہیں کرتے مگر جب کرتے ہیں تو بہت دفعہ کر گزرتے ہیں اور پھر سٹریس میں چلے جاتے ہیں
اور یوں یہ ایک loop hole بن جاتا ہے جس میں سالوں سال پھنسے رہتے ہیں 
اس کا بہترین حل ہے کے آپ یہ کبھی نہ کہیں کے میں یہ فعل کبھی نہیں کروں گا آپ خود سے پکا وعدہ کرلیں کے کم از کم یہ فعل میں آج نہیں کرونگا، اور کل ہوتے ہی کر لوں گا ، کل کے آنے تک ارجز ختم ہوئی ہونگی آپ اگلے دن بھی یہی تہیہ کریں کے بس آج نہیں کرونگا جب بھی ارجز آئیں ایسے ہی خود کو تسلی دی۔ کے آج نہیں بس کل
اور یوں انشاء اللہ بہت فائدہ ہوگا ، 
آپ ممبرز بیحد سٹریس اور ٹینشن لے رہے ہیں چیلنج کو لے کر اس حوالے سے بھی انشاء اللہ جلد کچھ لکھوں گا 
دعاگو محمد عرفان See less"
